,Generation,Index
0,1,136
1,1,189
2,1,138
3,1,179
4,1,177
5,1,190
6,1,142
7,1,143
8,1,144
9,1,192
10,1,168
11,1,147
12,1,148
13,1,149
14,1,184
15,1,171
16,1,188
17,1,193
18,1,180
19,1,155
20,1,173
21,1,157
22,1,174
23,1,175
24,1,160
25,1,183
26,1,187
27,1,0
28,1,191
29,1,194
30,2,136
31,2,224
32,2,217
33,2,179
34,2,177
35,2,190
36,2,215
37,2,143
38,2,144
39,2,210
40,2,222
41,2,147
42,2,199
43,2,209
44,2,184
45,2,211
46,2,188
47,2,193
48,2,219
49,2,155
50,2,173
51,2,195
52,2,174
53,2,201
54,2,220
55,2,202
56,2,187
57,2,0
58,2,223
59,2,206
60,3,252
61,3,243
62,3,217
63,3,251
64,3,177
65,3,235
66,3,247
67,3,143
68,3,144
69,3,210
70,3,222
71,3,147
72,3,231
73,3,247
74,3,237
75,3,211
76,3,230
77,3,244
78,3,219
79,3,155
80,3,239
81,3,195
82,3,174
83,3,201
84,3,220
85,3,202
86,3,187
87,3,0
88,3,240
89,3,245
90,4,279
91,4,264
92,4,273
93,4,280
94,4,177
95,4,275
96,4,271
97,4,278
98,4,144
99,4,210
100,4,222
101,4,147
102,4,261
103,4,272
104,4,277
105,4,257
106,4,230
107,4,244
108,4,254
109,4,270
110,4,259
111,4,195
112,4,174
113,4,201
114,4,220
115,4,202
116,4,267
117,4,0
118,4,240
119,4,245
120,5,279
121,5,264
122,5,273
123,5,304
124,5,177
125,5,275
126,5,271
127,5,302
128,5,301
129,5,295
130,5,306
131,5,300
132,5,261
133,5,297
134,5,277
135,5,286
136,5,230
137,5,279
138,5,290
139,5,270
140,5,284
141,5,295
142,5,289
143,5,201
144,5,264
145,5,305
146,5,267
147,5,0
148,5,281
149,5,303
150,6,321
151,6,264
152,6,273
153,6,304
154,6,316
155,6,275
156,6,271
157,6,309
158,6,322
159,6,295
160,6,306
161,6,295
162,6,317
163,6,323
164,6,277
165,6,286
166,6,307
167,6,318
168,6,290
169,6,270
170,6,328
171,6,295
172,6,289
173,6,320
174,6,264
175,6,305
176,6,304
177,6,0
178,6,271
179,6,329
180,7,321
181,7,264
182,7,273
183,7,337
184,7,316
185,7,275
186,7,341
187,7,309
188,7,331
189,7,295
190,7,306
191,7,295
192,7,346
193,7,356
194,7,277
195,7,286
196,7,336
197,7,351
198,7,357
199,7,270
200,7,348
201,7,295
202,7,349
203,7,320
204,7,264
205,7,305
206,7,339
207,7,0
208,7,277
209,7,331
210,8,316
211,8,264
212,8,273
213,8,337
214,8,316
215,8,275
216,8,384
217,8,295
218,8,331
219,8,295
220,8,377
221,8,295
222,8,346
223,8,365
224,8,277
225,8,380
226,8,363
227,8,351
228,8,373
229,8,270
230,8,375
231,8,295
232,8,349
233,8,320
234,8,264
235,8,305
236,8,360
237,8,0
238,8,277
239,8,331
240,9,393
241,9,264
242,9,273
243,9,387
244,9,394
245,9,395
246,9,385
247,9,295
248,9,409
249,9,295
250,9,396
251,9,295
252,9,403
253,9,365
254,9,277
255,9,407
256,9,363
257,9,351
258,9,273
259,9,270
260,9,410
261,9,295
262,9,295
263,9,320
264,9,264
265,9,305
266,9,398
267,9,0
268,9,277
269,9,402
270,10,393
271,10,295
272,10,273
273,10,277
274,10,394
275,10,433
276,10,385
277,10,295
278,10,409
279,10,295
280,10,426
281,10,295
282,10,277
283,10,273
284,10,277
285,10,407
286,10,363
287,10,429
288,10,273
289,10,295
290,10,411
291,10,295
292,10,295
293,10,320
294,10,295
295,10,273
296,10,398
297,10,422
298,10,277
299,10,402
300,11,445
301,11,295
302,11,277
303,11,277
304,11,394
305,11,442
306,11,385
307,11,295
308,11,460
309,11,295
310,11,426
311,11,295
312,11,277
313,11,451
314,11,277
315,11,407
316,11,363
317,11,429
318,11,456
319,11,295
320,11,411
321,11,295
322,11,295
323,11,320
324,11,295
325,11,277
326,11,398
327,11,422
328,11,277
329,11,402
330,12,445
331,12,295
332,12,471
333,12,473
334,12,394
335,12,442
336,12,385
337,12,295
338,12,463
339,12,295
340,12,426
341,12,295
342,12,483
343,12,451
344,12,490
345,12,407
346,12,363
347,12,429
348,12,456
349,12,295
350,12,411
351,12,295
352,12,295
353,12,320
354,12,295
355,12,277
356,12,398
357,12,422
358,12,277
359,12,402
360,13,445
361,13,295
362,13,471
363,13,473
364,13,394
365,13,519
366,13,385
367,13,295
368,13,463
369,13,295
370,13,426
371,13,295
372,13,483
373,13,451
374,13,490
375,13,407
376,13,363
377,13,429
378,13,456
379,13,295
380,13,411
381,13,295
382,13,295
383,13,511
384,13,295
385,13,497
386,13,295
387,13,422
388,13,505
389,13,402
390,14,540
391,14,295
392,14,471
393,14,473
394,14,394
395,14,520
396,14,385
397,14,295
398,14,463
399,14,295
400,14,533
401,14,295
402,14,483
403,14,451
404,14,527
405,14,407
406,14,548
407,14,429
408,14,456
409,14,295
410,14,411
411,14,295
412,14,295
413,14,539
414,14,295
415,14,497
416,14,295
417,14,422
418,14,505
419,14,295
420,15,540
421,15,575
422,15,471
423,15,473
424,15,394
425,15,520
426,15,555
427,15,578
428,15,564
429,15,295
430,15,533
431,15,295
432,15,483
433,15,561
434,15,527
435,15,407
436,15,566
437,15,429
438,15,456
439,15,295
440,15,411
441,15,295
442,15,295
443,15,539
444,15,295
445,15,497
446,15,295
447,15,422
448,15,505
449,15,295
450,16,540
451,16,575
452,16,471
453,16,473
454,16,394
455,16,520
456,16,555
457,16,578
458,16,564
459,16,394
460,16,533
461,16,580
462,16,483
463,16,561
464,16,527
465,16,407
466,16,566
467,16,429
468,16,456
469,16,590
470,16,411
471,16,599
472,16,471
473,16,539
474,16,603
475,16,497
476,16,605
477,16,422
478,16,505
479,16,606
480,17,634
481,17,575
482,17,471
483,17,614
484,17,394
485,17,520
486,17,555
487,17,578
488,17,564
489,17,394
490,17,616
491,17,580
492,17,633
493,17,561
494,17,578
495,17,407
496,17,631
497,17,612
498,17,456
499,17,590
500,17,411
501,17,599
502,17,471
503,17,618
504,17,603
505,17,619
506,17,605
507,17,422
508,17,629
509,17,635
510,18,634
511,18,575
512,18,471
513,18,614
514,18,394
515,18,520
516,18,555
517,18,578
518,18,564
519,18,394
520,18,616
521,18,645
522,18,633
523,18,575
524,18,578
525,18,407
526,18,631
527,18,663
528,18,644
529,18,590
530,18,639
531,18,599
532,18,471
533,18,618
534,18,603
535,18,619
536,18,605
537,18,662
538,18,650
539,18,471
540,19,634
541,19,575
542,19,471
543,19,614
544,19,394
545,19,679
546,19,555
547,19,691
548,19,564
549,19,394
550,19,616
551,19,645
552,19,633
553,19,575
554,19,578
555,19,674
556,19,631
557,19,666
558,19,644
559,19,590
560,19,614
561,19,687
562,19,471
563,19,618
564,19,603
565,19,394
566,19,605
567,19,662
568,19,650
569,19,471
570,20,634
571,20,575
572,20,471
573,20,614
574,20,394
575,20,721
576,20,705
577,20,692
578,20,564
579,20,394
580,20,708
581,20,645
582,20,633
583,20,575
584,20,696
585,20,674
586,20,631
587,20,666
588,20,644
589,20,590
590,20,614
591,20,687
592,20,471
593,20,618
594,20,603
595,20,394
596,20,605
597,20,662
598,20,650
599,20,471
600,21,634
601,21,575
602,21,471
603,21,614
604,21,724
605,21,564
606,21,705
607,21,692
608,21,564
609,21,471
610,21,708
611,21,645
612,21,633
613,21,575
614,21,696
615,21,674
616,21,631
617,21,666
618,21,644
619,21,727
620,21,614
621,21,728
622,21,471
623,21,618
624,21,603
625,21,730
626,21,605
627,21,731
628,21,732
629,21,471
630,22,722
631,22,575
632,22,723
633,22,614
634,22,724
635,22,725
636,22,705
637,22,692
638,22,726
639,22,614
640,22,724
641,22,645
642,22,633
643,22,575
644,22,696
645,22,674
646,22,631
647,22,666
648,22,644
649,22,727
650,22,614
651,22,728
652,22,729
653,22,618
654,22,603
655,22,730
656,22,605
657,22,731
658,22,732
659,22,471
660,23,722
661,23,575
662,23,723
663,23,614
664,23,724
665,23,725
666,23,705
667,23,692
668,23,726
669,23,614
670,23,724
671,23,645
672,23,633
673,23,575
674,23,696
675,23,674
676,23,771
677,23,666
678,23,644
679,23,727
680,23,614
681,23,728
682,23,741
683,23,618
684,23,603
685,23,730
686,23,774
687,23,731
688,23,732
689,23,751
690,24,723
691,24,796
692,24,723
693,24,805
694,24,724
695,24,725
696,24,705
697,24,692
698,24,726
699,24,809
700,24,724
701,24,645
702,24,633
703,24,800
704,24,801
705,24,633
706,24,771
707,24,666
708,24,644
709,24,803
710,24,614
711,24,728
712,24,741
713,24,618
714,24,603
715,24,730
716,24,723
717,24,731
718,24,732
719,24,751
720,25,823
721,25,796
722,25,826
723,25,805
724,25,724
725,25,725
726,25,705
727,25,692
728,25,726
729,25,811
730,25,724
731,25,645
732,25,633
733,25,800
734,25,801
735,25,633
736,25,771
737,25,666
738,25,644
739,25,803
740,25,835
741,25,728
742,25,741
743,25,618
744,25,603
